Time_s,Displacement_Linear_m,Displacement_Sine_m,Displacement_Exp_m,Displacement_Poly5_m
0.0,0.0,0.0,0.0,0.0
0.002,2.3333333333e-06,3.665174682e-06,1.16497972663e-05,2.579647e-10
0.004,7e-06,1.09954235634e-05,3.47568375869e-05,2.3113533e-09
0.006,1.4e-05,2.19905456816e-05,6.91317493909e-05,9.2067733e-09
0.008,2.33333333333e-05,3.66502396e-05,0.0001145882911441,2.5469284e-08
0.01,3.5e-05,5.49741034155e-05,0.0001709432996141,5.70719074e-08
0.012,4.9e-05,7.69616347702e-05,0.0002380166389906,1.114053474e-07
0.014,6.53333333333e-05,0.0001026122308648,0.0003156311508463,1.972479151e-07
0.016,8.4e-05,0.0001319251884752,0.0004036126049249,3.247356622e-07
0.018,0.000105,0.000164899703972,0.0005017896507433,5.053327222e-07
0.02,0.0001283333333333,0.000201534873342,0.0006099937699926,7.51801858e-07
0.022,0.000154,0.0002418296922137,0.0007280592297266,1.0781752178e-06
0.024,0.000182,0.0002857830558842,0.0008558230363236,1.4997252978e-06
0.026,0.0002123333333333,0.0003333937593499,0.0009931248902097,2.0329361128e-06
0.028,0.000245,0.0003846604973393,0.0011398071413298,2.6954745741e-06
0.03,0.00028,0.0004395818643488,0.001295714745355,3.5061620741e-06
0.032,0.0003173333333333,0.0004981563546814,0.0014606952206139,4.4849462795e-06
0.034,0.000357,0.0005603823624879,0.0016345986057353,5.6528731311e-06
0.036,0.000399,0.0006262581818108,0.0018172774179915,7.0320590511e-06
0.038,0.0004433333333333,0.0006957820066314,0.0020085866123298,8.645663358e-06
0.04,0.00049,0.0007689519309187,0.0022083835410815,1.05178608889e-05
0.042,0.000539,0.0008457659486825,0.0024165279143364,1.26738148289e-05
0.044,0.0005903333333333,0.0009262219540275,0.0026328817609725,1.51396497484e-05
0.046,0.000644,0.0010103177412117,0.00285730939033,1.79424248474e-05
0.048,0.0007,0.0010980510047068,0.0030896773545183,2.11101074074e-05
0.05,0.0007583333333333,0.0011894193392608,0.0033298544113464,2.46715464506e-05
0.052,0.000819,0.0012844202399648,0.0035777114878661,2.86564466067e-05
0.054,0.000882,0.0013830511023211,0.0038331216445173,3.30953421867e-05
0.056,0.0009473333333333,0.0014853092223148,0.0040959600398662,3.80195714647e-05
0.058,0.001015,0.0015911917964879,0.0043661038959265,4.34612511667e-05
0.06,0.001085,0.001700695922016,0.0046434324640533,4.94532511667e-05
